Step,Action,Price,Portfolio Value
172,1,444.0,10008.359999999995
173,1,444.19,10008.359999999995
174,2,444.24,10012.539999999995
175,1,444.21,10012.539999999995
176,2,444.2,10011.879999999994
177,1,444.21,10011.879999999994
178,0,444.1,10012.099999999993
179,2,444.23,10009.679999999995
180,1,444.29,10009.679999999995
181,2,444.2374,10010.999999999995
182,1,444.75,10010.999999999995
183,2,444.173,10022.277199999995
184,2,443.9403,10022.277199999995
185,1,444.0898,10022.277199999995
186,2,444.11,10025.566199999996
187,1,444.055,10025.566199999996
188,1,444.0,10024.356199999997
189,0,443.92,10023.146199999996
190,1,443.965,10021.386199999995
191,1,443.965,10022.376199999995
192,2,443.935,10022.376199999995
193,0,444.0,10022.376199999995
194,0,443.88,10022.376199999995
195,0,443.69,10022.376199999995
196,0,443.73,10022.376199999995
197,2,443.67,10022.376199999995
198,2,443.5,10022.376199999995
199,0,443.24,10022.376199999995
200,1,443.9,10022.376199999995
201,2,443.87,10036.896199999994
202,1,444.11,10036.896199999994
203,2,444.26,10042.176199999994
204,2,444.44,10042.176199999994
205,2,444.37,10042.176199999994
206,1,444.14,10042.176199999994
207,1,444.05,10037.116199999995
208,2,443.96,10035.136199999995
209,0,443.815,10035.136199999995
210,2,444.22,10035.136199999995
211,0,444.11,10035.136199999995
212,1,444.015,10035.136199999995
213,1,443.91,10033.046199999995
214,2,444.03,10030.736199999996
215,0,444.03,10030.736199999996
216,2,444.0,10030.736199999996
217,1,443.85,10030.736199999996
218,1,443.9,10027.436199999996
219,1,444.0,10028.536199999995
220,2,443.88,10030.736199999996
221,2,443.9,10030.736199999996
222,1,443.9,10030.736199999996
223,0,443.755,10030.736199999996
224,0,443.75,10027.546199999997
225,0,443.61,10027.436199999996
226,0,443.7,10024.356199999997
227,2,443.82,10026.336199999996
228,0,443.75,10026.336199999996
229,1,443.6,10026.336199999996
230,0,443.425,10023.036199999997
231,0,443.65,10019.186199999996
232,1,443.5,10024.136199999995
233,2,443.44,10020.836199999996
234,1,443.18,10020.836199999996
235,0,443.2,10015.116199999997
236,2,443.2,10015.556199999995
237,2,443.1,10015.556199999995
238,2,442.81,10015.556199999995
239,0,442.67,10015.556199999995
240,1,442.97,10015.556199999995
241,1,442.9,10022.156199999996
242,0,442.78,10020.616199999995
243,1,442.71,10017.976199999996
244,0,442.94,10016.436199999995
245,0,442.92,10021.496199999996
246,0,442.9,10021.056199999995
247,2,443.22,10020.616199999995
