Step,Action,Price,Portfolio Value
202,[1 0 1],444.11,9975.737399999993
203,[1 2 2],444.26,9980.957399999994
204,[0 1 2],444.44,9984.257399999993
205,[1 2 1],444.37,9988.217399999994
206,[1 0 0],444.14,9986.587399999993
207,[0 2 0],444.05,9981.527399999994
208,[0 2 2],443.96,9979.507399999993
209,[2 2 0],443.815,9977.527399999992
210,[2 0 1],444.22,9977.527399999992
211,[1 1 1],444.11,9981.847399999993
212,[0 2 2],444.015,9983.287399999994
213,[2 1 1],443.91,9983.287399999994
214,[0 1 2],444.03,9981.442399999994
215,[0 2 2],444.03,9983.692399999994
216,[1 2 2],444.0,9983.692399999994
217,[0 0 1],443.85,9983.032399999995
218,[1 2 2],443.9,9979.732499999995
219,[2 0 1],444.0,9980.832499999993
220,[2 1 1],443.88,9974.442499999994
221,[0 0 2],443.9,9973.022499999994
222,[1 1 1],443.9,9973.022499999994
223,[0 2 2],443.755,9973.137499999993
224,[0 2 0],443.75,9969.947499999995
225,[2 2 2],443.61,9969.837499999994
226,[0 1 0],443.7,9969.837499999994
227,[2 0 0],443.82,9970.837499999994
228,[2 1 0],443.75,9978.337499999994
229,[2 2 2],443.6,9975.089999999995
230,[0 2 0],443.425,9975.089999999995
231,[0 0 2],443.65,9975.089999999995
232,[1 2 0],443.5,9975.089999999995
233,[0 1 2],443.44,9971.789999999995
234,[1 0 0],443.18,9970.469999999996
235,[0 0 2],443.2,9964.749999999996
236,[0 2 2],443.2,9965.189999999995
237,[2 0 1],443.1,9965.189999999995
238,[2 1 1],442.81,9966.609999999993
239,[0 1 1],442.67,9972.644999999995
240,[0 0 0],442.97,9971.579999999994
241,[1 1 0],442.9,9976.549999999994
242,[0 1 1],442.78,9973.709999999995
243,[0 0 0],442.71,9973.695799999994
244,[0 1 2],442.94,9972.999999999995
245,[0 1 1],442.92,9972.999999999995
246,[2 2 0],442.9,9981.984999999993
247,[1 1 1],443.22,9981.984999999993
248,[0 2 1],443.21,9988.999999999993
249,[1 2 0],443.22,9988.814999999991
250,[1 0 1],442.98,9989.004999999994
251,[2 0 0],443.185,9983.789999999994
252,[2 2 1],443.23,9983.804999999995
253,[0 0 0],443.33,9989.129999999996
254,[2 1 2],443.3,9990.904999999993
255,[0 0 2],443.125,9990.904999999993
256,[2 1 0],443.14,9990.904999999993
257,[2 1 1],443.31,10019.738599999993
258,[0 0 0],443.39,10044.048599999991
259,[0 0 1],443.42,10015.878199999994
260,[0 1 1],443.565,9995.458599999994
261,[1 0 2],443.27,10021.138599999993
262,[1 0 2],443.1101,10015.498599999994
263,[2 0 2],443.365,10002.180999999993
264,[0 1 2],443.38,9992.799399999994
265,[0 0 1],443.4,9992.098599999994
266,[1 1 0],443.14,9964.278599999994
267,[2 0 2],443.0,9952.698599999994
268,[1 0 2],443.6,9986.778599999992
269,[0 0 1],444.14,10031.898599999991
270,[1 0 1],444.6,10023.279399999992
271,[1 2 0],445.455,10033.498599999992
272,[0 0 2],447.02,10033.697599999992
273,[1 0 0],447.595,10033.697599999992
