Step,Action,Price,Portfolio Value
114,[2 2 2],444.0,10047.130000000005
115,[1 2 1],443.97,10047.130000000005
116,[1 0 2],443.96,10046.450000000004
117,[2 1 1],443.9,10046.230000000003
118,[2 2 1],443.86,10045.990000000003
119,[0 1 0],443.97,10050.310000000003
120,[0 2 1],443.89,10051.750000000004
121,[0 1 1],443.85,10062.550000000003
122,[0 1 2],443.95,10058.950000000004
123,[2 0 0],443.92,10058.950000000004
124,[0 0 0],443.85,10058.950000000004
125,[2 0 0],443.9,10058.950000000004
126,[2 2 1],443.99,10058.950000000004
127,[1 1 1],444.01,10054.630000000005
128,[0 1 0],444.08,10051.750000000005
129,[0 0 2],444.04,10055.350000000004
130,[2 0 1],443.99,10055.350000000004
131,[0 2 0],444.09,10054.630000000006
132,[1 0 1],444.18,10047.430000000004
133,[2 2 0],444.19,10048.870000000004
134,[0 1 2],444.15,10053.910000000003
135,[0 0 0],444.15,10053.910000000003
136,[0 0 1],444.15,10053.910000000003
137,[0 0 0],444.36,10056.070000000003
138,[1 0 2],444.22,10053.190000000002
139,[2 2 1],444.2,10053.190000000002
140,[2 1 1],444.21,10054.630000000003
141,[0 1 0],444.22,10052.470000000003
142,[1 0 1],444.38,10051.750000000002
143,[0 2 2],444.63,10056.070000000002
144,[0 0 2],444.61,10056.070000000002
145,[0 1 2],444.55,10056.070000000002
146,[0 0 0],444.53,10053.820000000002
147,[2 2 2],444.47,10055.570000000002
148,[2 1 1],444.41,10055.570000000002
149,[2 2 0],444.47,10053.467500000002
150,[2 0 1],444.44,10053.477500000003
151,[0 0 0],444.41,10052.037500000004
152,[0 0 0],444.59,10042.677500000005
153,[0 2 0],444.39,10047.717500000004
154,[0 2 1],444.38,10043.397500000003
155,[1 1 2],444.2,10041.237500000003
156,[0 1 1],444.34,10041.237500000003
157,[2 1 1],444.34,10037.722500000003
158,[0 2 1],444.2,10027.272500000003
159,[2 0 0],444.22,10026.552500000002
160,[1 0 0],444.44,10024.392500000002
161,[1 1 2],444.43,10023.672500000002
162,[0 2 2],444.39,10023.672500000002
163,[1 1 0],444.38,10023.672500000002
164,[0 2 0],444.2,10023.452500000003
165,[0 0 0],444.11,10019.492500000002
166,[1 0 0],444.0,10017.512500000003
167,[1 1 0],444.13,10015.092500000002
168,[1 2 1],444.0,10017.952500000003
169,[2 0 0],444.1,10015.072500000002
170,[1 0 2],444.0,10014.992500000002
171,[0 1 2],444.0,10012.792500000001
172,[0 0 1],444.0,10012.792500000001
173,[1 2 0],444.19,10012.8925
174,[2 1 0],444.24,10017.042500000001
175,[0 2 2],444.21,10022.9889
176,[2 0 0],444.2,10022.9889
177,[2 1 1],444.21,10022.9889
178,[1 2 1],444.1,10019.958900000001
179,[2 2 1],444.23,10023.9333
180,[1 1 0],444.29,10029.678899999999
181,[1 0 0],444.2374,10025.718900000002
182,[0 1 1],444.75,10030.038900000001
183,[0 2 0],444.173,10031.4789
184,[0 0 1],443.9403,10026.438900000001
185,[1 1 1],444.0898,10038.678899999999
186,[0 1 1],444.11,10044.2661
187,[1 2 2],444.055,10043.726100000002
